player_id,name,team,position,base_rating
SCOS_P12, Dominik Szoboszlaino, Scousers, CM,86
SCOS_P13, Alexis Mac Allistair, Scousers, CM,89
SCOS_P14, Curtis Joneston, Scousers, CM,81
SCOS_P15, Harvey Elliotte, Scousers, AM,80
SCOS_P16, Mohamed Saloha, Scousers, RW,96
SCOS_P17, Florian Virtzso, Scousers, AM,91
SCOS_P18, Federico Chiesan, Scousers, LW,80
SCOS_P19, Cody Gakporenzo, Scousers, LW,87
SCOS_P20, Hugo Ekitiko, Scousers, ST,88
RMAD_P01, Thibaut Curtis, 90 Mins is a Long Time, GK,94
RMAD_P02, Andy Luninor, 90 Mins is a Long Time, GK,80
RMAD_P03, Dani Carve, 90 Mins is a Long Time, RB,80
RMAD_P04, Eder A Milli, 90 Mins is a Long Time, CB,87
RMAD_P05, Dave Alabama, 90 Mins is a Long Time, CB,83
RMAD_P06, Trenty Alex Anthony, 90 Mins is a Long Time, RB,92
RMAD_P07, Antonio Ruud, 90 Mins is a Long Time, CB,89
RMAD_P08, Mendyo, 90 Mins is a Long Time, LB,81
RMAD_P09, Dean Hui, 90 Mins is a Long Time, CB,86
RMAD_P10, Jo Bellingmano, 90 Mins is a Long Time, AM,94
RMAD_P11, Edu Cama, 90 Mins is a Long Time, CM,88
RMAD_P12, Ford Valverdelo, 90 Mins is a Long Time, CM,92
RMAD_P13, Aba Tchouamener, 90 Mins is a Long Time, DM,85
RMAD_P14, Amad Guleran, 90 Mins is a Long Time, AM,85
RMAD_P15, Dani Cellyba, 90 Mins is a Long Time, CM,78
RMAD_P16,Vinihino, 90 Mins is a Long Time, LW,90
RMAD_P17,Killy Frappe, 90 Mins is a Long Time, ST,96
RMAD_P18, Rodyrgomanto, 90 Mins is a Long Time, RW,90
RMAD_P19, Endrodrick, 90 Mins is a Long Time, ST,84
RMAD_P20, Frank Masta, 90 Mins is a Long Time, AM,78
REGF_P01, Marc-Andre Ter Stegino, Register FC, GK,80
REGF_P02,Joao Garcia, Register FC, GK,87
REGF_P03, Woj Sceshz, Register FC, GK,81
REGF_P04, Pau Barsi, Register FC, CB,85
REGF_P05, Ally Baldeo, Register FC, LB,87
REGF_P06, Cristiano Araúzo, Register FC, CB,86
REGF_P07, Andy Christens, Register FC, CB,82
REGF_P08, Jules Koule, Register FC, CB,90
REGF_P09, Eric Garrassa, Register FC, CB,79
REGF_P10, Gaviño, Register FC, CM,86
REGF_P11, Pedriano, Register FC, CM,92
REGF_P12, Fermin Lopezo, Register FC, AM,85
REGF_P13, Marc Casadoy, Register FC, DM,78
REGF_P14, Daniel Olmora, Register FC, AM,86
REGF_P15, Frank Jong, Register FC, CM,90
REGF_P16, Derran Torr, Register FC, LW,85
REGF_P17, Bob LeDowski, Register FC, ST,89
REGF_P18,  Yamalito, Register FC, RW,95
REGF_P19, Raphinhão, Register FC, RW,88
REGF_P20, Mark Rash, Register FC, LW,86
BUND_P01, Manuel Nuerlero, The Bundesliga Team, GK,80
BUND_P02, Sven Ulreicho, The Bundesliga Team, GK,80
BUND_P03, Jonas Urbigo, The Bundesliga Team, GK,76
BUND_P04, Days Upamecani, The Bundesliga Team, CB,83
BUND_P05, Minjae Kimo, The Bundesliga Team, CB,82
BUND_P06, Jack Tahler, The Bundesliga Team, CB,88
BUND_P07, Phonny Daviers, The Bundesliga Team, LB,86
BUND_P08, Hiroki Itoda, The Bundesliga Team, CB,83
BUND_P09, Raphael Gerr, The Bundesliga Team, LB,84
BUND_P10, Sash Boeyo, The Bundesliga Team, RB,80
BUND_P11, Josh Kimming, The Bundesliga Team, DM,91
BUND_P12, Leon Garetzko, The Bundesliga Team, CM,83
BUND_P13, Jamal Musialelonga, The Bundesliga Team, AM,91
BUND_P14, Konrad Laimerich, The Bundesliga Team, CM,84
BUND_P15, Aleksandar Pavlovico, The Bundesliga Team, CM,82
BUND_P16, Paul Wanners, The Bundesliga Team, AM,78
BUND_P17, Harold Kaner, The Bundesliga Team, ST,93
BUND_P18, Sergei Gnabryko, The Bundesliga Team, RW,85
BUND_P19, Luish Deesh, The Bundesliga Team, LW,86
BUND_P20, Mike Olisey, The Bundesliga Team, RW,90
CROIS_P01,GianLuigi Mario, Croissant FC, GK,90
CROIS_P02, Lucas Chevaliero, Croissant FC, GK,82
CROIS_P03, Matvey Safonov, Croissant FC, GK,81
CROIS_P04, Achraf Hakimino, Croissant FC, RB,91
CROIS_P05, Presnel Kimpembéson, Croissant FC, CB,81
CROIS_P06,  Beraldinho, Croissant FC, CB,82
CROIS_P07, Marquinhosinho, Croissant FC, CB,85
CROIS_P08, Illia Zabarny, Croissant FC, CB,82
CROIS_P09, Lucas Hernandezao, Croissant FC, LB,84
CROIS_P10,  Mendesinho, Croissant FC, LB,90
CROIS_P11, Fabian Ruizo, Croissant FC, CM,84
CROIS_P12, Vitinhaio, Croissant FC, CM,89
CROIS_P13, King-In Leao, Croissant FC, AM,80
CROIS_P14, Senny Muyulo, Croissant FC, AM,77
CROIS_P15, Warren Zaire-Wade, Croissant FC, CM,84
CROIS_P16, João Nevsh, Croissant FC, DM,88
CROIS_P17, Karl Kvarasel, Croissant FC, LW,90
CROIS_P18, Cristiano Ramoso, Croissant FC, ST,82
CROIS_P19, Marcus Dembeleau, Croissant FC, RW,90
CROIS_P20, Barry Barcolan, Croissant FC, RW,85
PTB_P01, Jan Oblakadro, Park the Bus, GK,88
PTB_P02, Juan Mussona, Park the Bus, GK,80
PTB_P03, Jose Gimenezco, Park the Bus, CB,84
PTB_P04, Matteo Ruggerio, Park the Bus, LB,80
PTB_P05, Clement Lengleto, Park the Bus, CB,80
PTB_P06, Nathan Molinaro, Park the Bus, RB,85
PTB_P07, Dave Hanckor, Park the Bus, CB,84
PTB_P08, Marc Pubillo, Park the Bus, RB,80
PTB_P09, Javi Galando, Park the Bus, LB,80
PTB_P10, Robin Lenormando, Park the Bus, CB,85
PTB_P11, Kokealito, Park the Bus, CM,86
PTB_P12, Pablo Barrioso, Park the Bus, CM,82
PTB_P13, Alex Baenaro, Park the Bus, AM,84
PTB_P14, Marcos Llorento, Park the Bus, RM,86
PTB_P15, Johnny Cardose, Park the Bus, DM,82
PTB_P16, Connor Gallaguer, Park the Bus, CM,84
PTB_P17, Antoine Griezmanno, Park the Bus, SS,88
PTB_P18, Alexander Sorlutho, Park the Bus, ST,86
PTB_P19, Thiago Almadino, Park the Bus, AM,81
PTB_P20, Giacomo Raspadoro, Park the Bus, ST,82
